IP地址,端口,TLS,域名后缀,数据中心,08-15-03:11:35,城市,网络延迟(ms),下载速度(MB/s)
47.242.59.216,2096,true,HK,HKG,Asia Pacific,Hong Kong,39,10.7
47.242.79.71,2096,true,HK,HKG,Asia Pacific,Hong Kong,45,10.6
47.243.107.148,2096,true,HK,HKG,Asia Pacific,Hong Kong,37,10.5
47.243.86.79,2096,true,HK,HKG,Asia Pacific,Hong Kong,43,10.5
47.242.202.230,2096,true,HK,HKG,Asia Pacific,Hong Kong,43,10.5
47.243.173.187,2096,true,HK,HKG,Asia Pacific,Hong Kong,40,10.5
47.243.70.186,2096,true,HK,HKG,Asia Pacific,Hong Kong,46,10.5
8.217.66.3,2096,true,HK,HKG,Asia Pacific,Hong Kong,36,10.5
47.242.252.237,2096,true,HK,HKG,Asia Pacific,Hong Kong,44,10.4
47.242.125.241,2096,true,HK,HKG,Asia Pacific,Hong Kong,41,10.4
8.210.63.130,2096,true,HK,HKG,Asia Pacific,Hong Kong,39,10.4
47.242.157.96,2096,true,HK,HKG,Asia Pacific,Hong Kong,42,10.4
8.210.42.171,2096,true,HK,HKG,Asia Pacific,Hong Kong,36,10.3
